raw_taxa,raw_EOO,raw_AOO,raw_Nbe_unique_occ.,raw_Nbe_subPop,raw_Nbe_loc,raw_Category_CriteriaB,raw_Category_code,raw_Category_AOO,raw_Category_EOO,filtered_EOO,filtered_AOO,filtered_Nbe_unique_occ.,filtered_Nbe_subPop,filtered_Nbe_loc,filtered_Category_CriteriaB,filtered_Category_code,filtered_Category_AOO,filtered_Category_EOO
Abelmoschus esculentus,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abutilon incanum,36997,20,5,5,5,EN,EN B2a,EN,LC or NT,27453,12,3,3,3,EN,EN B2a,EN,LC or NT
Abutilon palmeri,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,4,1,1,1,CR,CR B2a,CR,NA
Abutilon viscosum,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allowissadula holosericea,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,4,1,1,1,CR,CR B2a,CR,NA
Anoda cristata,119e3,32,9,7,7,VU,VU B2a,VU,LC or NT,119e3,16,5,4,4,EN,EN B2a,EN,LC or NT
Anoda hastata,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,4,1,1,1,CR,CR B2a,CR,NA
Apeiba tibourbou,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bastardiastrum gracile,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,4,1,1,1,CR,CR B2a,CR,NA
Byttneria australis,NA,8,2,2,2,EN,EN B2a,EN,NA,NA,8,2,2,2,EN,EN B2a,EN,NA
Callianthe inaequalis,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,4,1,1,1,CR,CR B2a,CR,NA
Callianthe picta,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceiba acuminata,NA,8,2,2,2,EN,EN B2a,EN,NA,NA,8,2,2,2,EN,EN B2a,EN,NA
Ceiba aesculifolia,819554,24,7,6,6,VU,VU B2a,VU,LC or NT,819554,24,7,6,6,VU,VU B2a,VU,LC or NT
Ceiba pentandra,4109607,48,12,12,12,LC or NT,LC or NT B1a+B2a,LC or NT,LC or NT,1399267,36,9,9,9,VU,VU B2a,VU,LC or NT
Ceiba speciosa,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,4,1,1,1,CR,CR B2a,CR,NA
Chiranthodendron pentadactylon,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,4,1,1,1,CR,CR B2a,CR,NA
Gossypium arboreum,NA,8,2,2,2,EN,EN B2a,EN,NA,NA,4,1,1,1,CR,CR B2a,CR,NA
Gossypium hirsutum,358007,12,3,3,3,EN,EN B2a,EN,LC or NT,NA,4,1,1,1,CR,CR B2a,CR,NA
Gossypium thurberi,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,4,1,1,1,CR,CR B2a,CR,NA
Guazuma ulmifolia,6096e3,44,12,10,11,LC or NT,LC or NT B1a+B2a,LC or NT,LC or NT,2336285,40,11,9,9,VU,VU B2a,VU,LC or NT
Hampea thespesioides,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,4,1,1,1,CR,CR B2a,CR,NA
Helicteres baruensis,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,4,1,1,1,CR,CR B2a,CR,NA
Helicteres sacarolha,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,4,1,1,1,CR,CR B2a,CR,NA
Heliocarpus americanus,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,4,1,1,1,CR,CR B2a,CR,NA
Heliocarpus appendiculatus,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,4,1,1,1,CR,CR B2a,CR,NA
Heliocarpus terebinthinaceus,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,4,1,1,1,CR,CR B2a,CR,NA
Hibiscus coulteri,NA,8,2,2,2,EN,EN B2a,EN,NA,NA,4,1,1,1,CR,CR B2a,CR,NA
Hibiscus denudatus,201,12,3,3,3,EN,EN B1a+B2a,EN,EN,201,12,3,3,3,EN,EN B1a+B2a,EN,EN
Hibiscus martianus,NA,8,2,2,2,EN,EN B2a,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hibiscus poeppigii,988,12,3,2,2,EN,EN B1a+B2a,EN,EN,988,12,3,2,2,EN,EN B1a+B2a,EN,EN
Hibiscus schizopetalus,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,4,1,1,1,CR,CR B2a,CR,NA
Hibiscus uncinellus,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,4,1,1,1,CR,CR B2a,CR,NA
Luehea divaricata,NA,8,2,2,2,EN,EN B2a,EN,NA,NA,8,2,2,2,EN,EN B2a,EN,NA
Luehea grandiflora,NA,4,1,1,1,CR,CR B2a,CR,NA,NA,4,1,1,1,CR,CR B2a,CR,NA
