"species"	"decimallongitude"	"decimallatitude"	"homepolygon"
"Ceiba speciosa"	-49.77	-26.91	"1"
"Ceiba speciosa"	-49.77	-26.91	"1"
"Ceiba speciosa"	-49.77	-26.91	"1"
"Ceiba speciosa"	-52.227333	-24.739139	"1"
"Ceiba speciosa"	-46.733437	-23.707881	"1"
"Ceiba speciosa"	-47.176133	-23.584793	"1"
"Ceiba speciosa"	-47.018157	-22.905958	"1"
"Ceiba samauma"	-55.917042	-9.586472	"1"
"Ceiba speciosa"	-47.021233	-22.904805	"1"
"Ceiba erianthos"	-41.95	-12.9	"13"
"Ceiba pubiflora"	-41.5	-11.833333	"13"
"Ceiba pubiflora"	-41.333333	-11.483333	"13"
"Ceiba glaziovii"	-41.438056	-11.015278	"13"
"Ceiba speciosa"	-42.998089	-22.472728	"1"
"Ceiba speciosa"	-47.022602	-22.906835	"1"
"Ceiba glaziovii"	-37.62	-7.56	"13"
"Ceiba pubiflora"	-44.246111	-15.122778	"2"
"Ceiba rubriflora"	-43.758333	-14.883056	"2"
"Ceiba pubiflora"	-44.412778	-15.426389	"2"
"Ceiba pubiflora"	-44.242778	-15.123056	"2"
"Ceiba pubiflora"	-44.446389	-15.411111	"2"
"Ceiba erianthos"	-41.992778	-21.919167	"1"
"Ceiba rubriflora"	-43.758333	-14.883056	"2"
"Ceiba rubriflora"	-43.758333	-14.883056	"2"
"Ceiba pubiflora"	-43.752222	-14.893889	"2"
"Ceiba rubriflora"	-43.758333	-14.883056	"2"
"Ceiba pubiflora"	-44.444722	-15.412222	"2"
"Ceiba rubriflora"	-43.758333	-14.883056	"2"
"Ceiba rubriflora"	-43.758333	-14.883056	"2"
"Ceiba rubriflora"	-44.264444	-15.086944	"2"
"Ceiba pubiflora"	-44.252222	-15.096944	"2"
"Ceiba rubriflora"	-43.754722	-14.885	"2"
"Ceiba erianthos"	-41.956111	-21.8425	"1"
"Ceiba rubriflora"	-43.758333	-14.883056	"2"
"Ceiba pubiflora"	-43.856944	-15.2475	"2"
"Ceiba rubriflora"	-44.264444	-15.086667	"2"
"Ceiba rubriflora"	-44.264722	-15.086111	"2"
"Ceiba rubriflora"	-44.251667	-15.097778	"2"
"Ceiba rubriflora"	-43.758333	-14.883056	"2"
"Ceiba pubiflora"	-44.083333	-14.876944	"2"
"Ceiba rubriflora"	-43.754167	-14.885833	"2"
"Ceiba rubriflora"	-44.240278	-15.123889	"2"
"Ceiba rubriflora"	-44.264444	-15.086667	"2"
"Ceiba rubriflora"	-43.758333	-14.883056	"2"
"Ceiba erianthos"	-39.776667	-12.728333	"13"
"Ceiba pubiflora"	-46.638611	-11.7875	"7"
"Ceiba ventricosa"	-39.461111	-15.203056	"1"
"Ceiba pubiflora"	-44.9575	-12.377222	"7"
"Ceiba pubiflora"	-46.636944	-11.786389	"7"
"Ceiba pubiflora"	-40.82	-11.028611	"13"
"Ceiba ventricosa"	-39.530556	-15.154167	"1"
"Ceiba ventricosa"	-39.045278	-12.114167	"1"
"Ceiba pubiflora"	-46.638611	-11.7875	"7"
"Ceiba pubiflora"	-46.638611	-11.7875	"7"
"Ceiba pubiflora"	-41.334167	-10.952222	"13"
"Ceiba erianthos"	-39.776667	-12.728333	"13"
