name,key,decimalLatitude,decimalLongitude,issues,datasetKey,publishingOrgKey,networkKeys,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,extensions,basisOfRecord,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,scientificName,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,dateIdentified,stateProvince,year,month,day,eventDate,lastInterpreted,license,identifiers,facts,relations,geodeticDatum,class,countryCode,country,rightsHolder,recordNumber,identifier,municipality,datasetName,collectionCode,gbifID,language,occurrenceID,type,catalogNumber,recordedBy,institutionCode,ownerInstitutionCode,occurrenceRemarks,identifiedBy,modified,locality,http...unknown.org.http_..rs.tdwg.org.dwc.terms.Identification,otherCatalogNumbers,http...unknown.org.http_..rs.gbif.org.terms.1.0.Multimedia,elevation,elevationAccuracy,coordinateUncertaintyInMeters,references,verbatimEventDate,verbatimLocality,taxonID,http...unknown.org.occurrenceDetails,rights,identificationID,continent,eventTime,fieldNotes,habitat,nomenclaturalCode,institutionID,endDayOfYear,county,preparations,startDayOfYear,verbatimElevation,collectionID,individualCount,higherGeography,http...unknown.org.http_..rs.tdwg.org.dwc.terms.ResourceRelationship,higherClassification,nomenclaturalStatus,bibliographicCitation,fieldNumber,eventRemarks,georeferenceProtocol,typeStatus,identificationRemarks,georeferenceSources,http...unknown.org.http_..rs.tdwg.org.dwc.terms.MeasurementOrFact,acceptedNameUsageID,http...unknown.org.http_..rs.gbif.org.terms.1.0.Description,datasetID,verbatimTaxonRank,organismID,accessRights,verbatimCoordinateSystem,georeferencedDate,establishmentMeans,previousIdentifications,typifiedName,http...unknown.org.http_..rs.gbif.org.terms.1.0.Identifier,waterBody,locationID,eventID,taxonRemarks,dynamicProperties,X[[i]]
Ceiba speciosa,1913570323,-26.91,-49.77,gass84,52b78a58-c84a-4370-bb14-b27a007d5da6,7cf67ac2-f2f2-42bd-92e4-c2eac0b21039,none,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2018-09-24T16:36:23.692+0000,2018-09-24T16:36:23.728+0000,118,none,PRESERVED_SPECIMEN,8688929,6,7707728,220,941,6685,3152218,8688929,8688929,"Ceiba speciosa (A.St.-Hil., A.Juss. & Cambess.) Ravenna","Ceiba speciosa (A.St.-Hil., A.Juss. & Cambess.) Ravenna",Plantae,Tracheophyta,Malvales,Malvaceae,Ceiba,Ceiba speciosa,Ceiba,speciosa,SPECIES,ACCEPTED,2018-02-19T00:00:00.000+0000,Santa Catarina,2018,2,19,2018-02-19T00:00:00.000+0000,2018-09-24T16:36:23.737+0000,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,WGS84,Magnoliopsida,BR,Brazil,HUCS - Herbário da Universidade de Caxias do Sul,2100,BRA:UCS:HUCS:0000048201,Witmarsum,HUCS - Herbário da Universidade de Caxias do Sul,HUCS,1913570323,pt,BRA:UCS:HUCS:0000048201,Collection,48201,"Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D. .A.",UCS,Universidade de Caxias do Sul (UCS),"FURB 57354; Beira de estrada. Árvore, flor lilás","Kassner-Filho, A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceiba speciosa,1837381321,-26.91,-49.77,gass84,b9a43c60-d2b6-445c-9362-2db65465c963,34e6e625-47cf-4d42-8054-af0c2f1b6e64,none,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2018-09-24T16:37:19.554+0000,2018-07-04T12:02:06.012+0000,112,none,PRESERVED_SPECIMEN,8688929,6,7707728,220,941,6685,3152218,8688929,8688929,"Ceiba speciosa (A.St.-Hil., A.Juss. & Cambess.) Ravenna","Ceiba speciosa (A.St.-Hil., A.Juss. & Cambess.) Ravenna",Plantae,Tracheophyta,Malvales,Malvaceae,Ceiba,Ceiba speciosa,Ceiba,speciosa,SPECIES,ACCEPTED,2018-02-19T00:00:00.000+0000,Santa Catarina,2018,2,19,2018-02-19T00:00:00.000+0000,2018-07-07T16:44:27.848+0000,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,WGS84,Magnoliopsida,BR,Brazil,FURB - Herbário Dr. Roberto Miguel Klein,2100,BRA:FURB:FURB:0000057354,Witmarsum,FURB - Herbário Dr. Roberto Miguel Klein,FURB,1837381321,pt,BRA:FURB:FURB:0000057354,Collection,57354,"Kassner-Filho, A.","Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB",flor lilás,"Kassner-Filho, A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceiba speciosa,1902143968,-26.91,-49.77,gass84,4300f8d5-1ae5-49e5-a101-63894b005868,838537fc-4aeb-4980-8b58-97fbdcd1d91a,none,da7fe11a-b42c-46cb-9e9d-02243edb738a,BR,DWC_ARCHIVE,2018-10-02T15:37:29.442+0000,2018-09-24T19:59:09.653+0000,207,none,PRESERVED_SPECIMEN,8688929,6,7707728,220,941,6685,3152218,8688929,8688929,"Ceiba speciosa (A.St.-Hil., A.Juss. & Cambess.) Ravenna","Ceiba speciosa (A.St.-Hil., A.Juss. & Cambess.) Ravenna",Plantae,Tracheophyta,Malvales,Malvaceae,Ceiba,Ceiba speciosa,Ceiba,speciosa,SPECIES,ACCEPTED,2018-02-19T00:00:00.000+0000,Santa Catarina,2018,2,19,2018-02-19T00:00:00.000+0000,2018-09-24T19:59:31.970+0000,http://creativecommons.org/licenses/by/4.0/legalcode,none,none,none,WGS84,Magnoliopsida,BR,Brazil,Rio de Janeiro Botanical Garden,2100,urn:catalog:JBRJ:RB:1396985,Witmarsum,RB - Rio de Janeiro Botanical Garden Herbarium Collection,RB,1902143968,NA,urn:catalog:JBRJ:RB:1396985,PhysicalObject,RB01396985,"A.Kassner-Filho; D.Santos, G.Bollmann e D.A.Silva",JBRJ,NA,NA,A.Kassner-Filho,2018-08-29T17:01:46.000+0000,Beira de estrada,[ ],RB 774259,[ ],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceiba speciosa,1837392345,-24.739139,-52.227333,gass84,dd31ac22-63d4-4bb4-a987-5eece5ffadb8,042a7696-696b-492b-ad3e-4076807eaeed,none,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2018-09-25T14:47:24.450+0000,2018-08-03T12:12:33.826+0000,110,none,PRESERVED_SPECIMEN,8688929,6,7707728,220,941,6685,3152218,8688929,8688929,"Ceiba speciosa (A.St.-Hil., A.Juss. & Cambess.) Ravenna","Ceiba speciosa (A.St.-Hil., A.Juss. & Cambess.) Ravenna",Plantae,Tracheophyta,Malvales,Malvaceae,Ceiba,Ceiba speciosa,Ceiba,speciosa,SPECIES,ACCEPTED,2018-03-26T00:00:00.000+0000,Pr,2018,3,13,2018-03-13T00:00:00.000+0000,2018-08-03T12:12:37.646+0000,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,WGS84,Magnoliopsida,BR,Brazil,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,2489,BRA:UTFPR:HCF:0000025087,Mato Rico,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,HCF,1837392345,pt,BRA:UTFPR:HCF:0000025087,Collection,25087,E.L. Siqueira,Universidade Tecnológica Federal do Paraná (UTFPR),Universidade Tecnológica Federal do Paraná (UTFPR),"árvore ca. 8 m, heliófita. Frutos imaturos verdes.",M.G. Caxambu,NA,Estação Ecológica Municipal Colombo,NA,NA,NA,716,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceiba speciosa,1841307683,-23.584793,-47.176133,gass84,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,none,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2018-10-22T15:36:45.375+0000,2018-10-08T14:24:37.956+0000,131,none,HUMAN_OBSERVATION,8688929,6,7707728,220,941,6685,3152218,8688929,8688929,"Ceiba speciosa (A.St.-Hil., A.Juss. & Cambess.) Ravenna","Ceiba speciosa (A.St.-Hil., A.Juss. & Cambess.) Ravenna",Plantae,Tracheophyta,Malvales,Malvaceae,Ceiba,Ceiba speciosa,Ceiba,speciosa,SPECIES,ACCEPTED,2018-05-02T01:59:47.000+0000,São Paulo,2018,4,29,2018-04-29T00:00:00.000+0000,2018-10-08T14:39:10.795+0000,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,WGS84,Magnoliopsida,BR,Brazil,Caroline Camargo,NA,12024240,NA,iNaturalist research-grade observations,Observations,1841307683,NA,https://www.inaturalist.org/observations/12024240,NA,12024240,Caroline Camargo,iNaturalist,NA,NA,NA,2018-05-04T04:21:55.000+0000,NA,NA,NA,[ ],NA,NA,203,https://www.inaturalist.org/observations/12024240,2018/04/29 10:59 AM -03,"Estrada Turística da Angolana Nº 257 - Campininha, São Roque - SP, 18145-702, Brasil",154290,https://www.inaturalist.org/observations/12024240,© Caroline Camargo some rights reserved,26268169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceiba,1898863018,-8.901111,-58.576389,"cdround,gass84",4300f8d5-1ae5-49e5-a101-63894b005868,838537fc-4aeb-4980-8b58-97fbdcd1d91a,none,da7fe11a-b42c-46cb-9e9d-02243edb738a,BR,DWC_ARCHIVE,2018-10-02T15:37:29.007+0000,2018-09-24T19:59:09.279+0000,207,none,PRESERVED_SPECIMEN,3152218,6,7707728,220,941,6685,3152218,NA,3152218,Ceiba Mill.,Ceiba Mill.,Plantae,Tracheophyta,Malvales,Malvaceae,Ceiba,NA,Ceiba,NA,GENUS,ACCEPTED,NA,Mato Grosso,2018,5,20,2018-05-20T00:00:00.000+0000,2018-09-24T19:59:31.617+0000,http://creativecommons.org/licenses/by/4.0/legalcode,none,none,none,WGS84,Magnoliopsida,BR,Brazil,Rio de Janeiro Botanical Garden,9828,urn:catalog:JBRJ:RB:1396276,Cotriguaçu,RB - Rio de Janeiro Botanical Garden Herbarium Collection,RB,1898863018,NA,urn:catalog:JBRJ:RB:1396276,PhysicalObject,RB01396276,R.C. Forzza; P. Labiak; R. Goldenberg; D.L. Santos-Silva; L.P. Piva; E.W.S. Gonçalves,JBRJ,NA,"Árvore sem folhas, ca. 18 m alt.; flores com cálice verde; corola rósea; gineceu alvo",NA,2018-08-21T10:46:29.000+0000,Igarapé Preto. Parque Nacional do Juruena,[ ],RB 773585,[ ],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceiba speciosa,1915275310,-20.478056,-40.0025,gass84,4d0fa690-1551-46f0-9a22-acfec0e00dd0,503e9b26-09b5-4c40-b42a-bb476319a8ad,none,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2018-10-09T15:49:02.049+0000,2018-10-09T15:49:02.071+0000,136,none,PRESERVED_SPECIMEN,8688929,6,7707728,220,941,6685,3152218,8688929,8688929,"Ceiba speciosa (A.St.-Hil., A.Juss. & Cambess.) Ravenna","Ceiba speciosa (A.St.-Hil., A.Juss. & Cambess.) Ravenna",Plantae,Tracheophyta,Malvales,Malvaceae,Ceiba,Ceiba speciosa,Ceiba,speciosa,SPECIES,ACCEPTED,NA,Espírito Santo,2018,7,28,2018-07-28T00:00:00.000+0000,2018-10-09T15:49:37.156+0000,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,WGS84,Magnoliopsida,BR,Brazil,VIES - Herbário Central da Universidade Federal do Espírito Santo VIES,4611,BRA:UFES:VIES:0000028685,Vargem Alta,VIES - Herbário Central da Universidade Federal do Espírito Santo VIES,VIES,1915275310,pt,BRA:UFES:VIES:0000028685,Collection,28685,"Assis, A.M.; Cribari, R.S.; Santos, R.; Santos, J.P.",UFES,"Universidade Federal do Espírito Santo, UFES",Árvore. DAP 100cm. Frutos verdes. Floresta ombrófila densa montana secundária (estágio médio de regeneração).,NA,NA,NA,NA,NA,NA,1020,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceiba erianthos,1899819223,-11.238056,-41.588611,gass84,5b5cf455-a448-4c0a-aecd-3e0956f27f10,afdd8e93-b4e3-491c-88f0-8a22834ac1a9,none,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2018-10-03T14:28:32.191+0000,2018-10-03T14:28:32.243+0000,114,none,PRESERVED_SPECIMEN,8075191,6,7707728,220,941,6685,3152218,8075191,8075191,Ceiba erianthos K.Schum.,Ceiba erianthos K.Schum.,Plantae,Tracheophyta,Malvales,Malvaceae,Ceiba,Ceiba erianthos,Ceiba,erianthos,SPECIES,ACCEPTED,2018-08-27T00:00:00.000+0000,Bahia,2017,1,21,2017-01-21T00:00:00.000+0000,2018-10-03T14:28:32.273+0000,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,WGS84,Magnoliopsida,BR,Brazil,ALCB - Herbário Alexandre Leal Costa,4173,BRA:UFBA:ALCB:0000132096,João Dourado,ALCB - Herbário Alexandre Leal Costa,ALCB,1899819223,pt,BRA:UFBA:ALCB:0000132096,Collection,132096,"Cardoso, D; Lloyd, J; Domingues, T",Universidade Federal da Bahia (UFBA),Universidade Federal da Bahia (UFBA),"ca. 5 m alt., tronco com acúleos. DNA.","Ferreira, CDM",NA,Estrada para a Gruta dos Brej?es,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOUTH_AMERICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceiba,1837839703,-11.238056,-41.588611,gass84,2e684fd6-09e2-4661-910a-0a188b610c04,60545be9-4f28-4245-b4b4-07635c8dfa54,none,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2018-10-09T15:48:01.132+0000,2018-09-10T18:27:58.788+0000,118,none,PRESERVED_SPECIMEN,3152218,6,7707728,220,941,6685,3152218,NA,3152218,Ceiba Mill.,Ceiba Mill.,Plantae,Tracheophyta,Malvales,Malvaceae,Ceiba,NA,Ceiba,NA,GENUS,ACCEPTED,NA,Bahia,2017,1,21,2017-01-21T00:00:00.000+0000,2018-09-10T18:28:22.023+0000,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,WGS84,Magnoliopsida,BR,Brazil,HUEFS - Herbario da Universidade Estadual de Feira de Santana,4173,BRA:UEFS:HUEFS:0000239351,João Dourado,HUEFS - Herbario da Universidade Estadual de Feira de Santana,HUEFS,1837839703,pt,BRA:UEFS:HUEFS:0000239351,Collection,239351,"Cardoso, D.",UEFS,Universidade Estadual de Feira de Santana (UEFS),NA,NA,NA,Estrada para a Gruta dos Brejões,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceiba speciosa,1703210491,-22.905958,-47.018157,"cdround,gass84",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,none,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2018-10-22T15:51:14.643+0000,2018-10-08T16:48:35.206+0000,131,none,HUMAN_OBSERVATION,8688929,6,7707728,220,941,6685,3152218,8688929,8688929,"Ceiba speciosa (A.St.-Hil., A.Juss. & Cambess.) Ravenna","Ceiba speciosa (A.St.-Hil., A.Juss. & Cambess.) Ravenna",Plantae,Tracheophyta,Malvales,Malvaceae,Ceiba,Ceiba speciosa,Ceiba,speciosa,SPECIES,ACCEPTED,2017-11-26T15:58:18.000+0000,São Paulo,2017,2,21,2017-02-21T00:00:00.000+0000,2018-10-08T16:55:31.869+0000,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,WGS84,Magnoliopsida,BR,Brazil,Nelson Wisnik,NA,8941118,NA,iNaturalist research-grade observations,Observations,1703210491,NA,https://www.inaturalist.org/observations/8941118,NA,8941118,Nelson Wisnik,iNaturalist,NA,NA,NA,2017-11-28T19:13:26.000+0000,NA,NA,NA,"[ {
  ""http://rs.tdwg.org/dwc/terms/catalogNumber"" : ""12046386"",
  ""http://purl.org/dc/terms/creator"" : ""Nelson Wisnik"",
  ""http://purl.org/dc/terms/format"" : ""image/jpeg"",
  ""http://purl.org/dc/terms/identifier"" : ""https://static.inaturalist.org/photos/12046386/original.jpeg?1511711892"",
  ""http://purl.org/dc/terms/type"" : ""StillImage"",
  ""http://purl.org/dc/terms/created"" : ""2017-02-21T08:16:21-08:00"",
  ""http://purl.org/dc/terms/references"" : ""https://www.inaturalist.org/photos/12046386"",
  ""http://purl.org/dc/terms/rightsHolder"" : ""Nelson Wisnik"",
  ""http://purl.org/dc/terms/license"" : ""http://creativecommons.org/licenses/by-nc/4.0/"",
  ""http://purl.org/dc/terms/publisher"" : ""iNaturalist""
}, {
  ""http://rs.tdwg.org/dwc/terms/catalogNumber"" : ""12046434"",
  ""http://purl.org/dc/terms/creator"" : ""Nelson Wisnik"",
  ""http://purl.org/dc/terms/format"" : ""image/jpeg"",
  ""http://purl.org/dc/terms/identifier"" : ""https://static.inaturalist.org/photos/12046434/original.jpeg?1511712100"",
  ""http://purl.org/dc/terms/type"" : ""StillImage"",
  ""http://purl.org/dc/terms/created"" : ""2017-02-21T08:16:48-08:00"",
  ""http://purl.org/dc/terms/references"" : ""https://www.inaturalist.org/photos/12046434"",
  ""http://purl.org/dc/terms/rightsHolder"" : ""Nelson Wisnik"",
  ""http://purl.org/dc/terms/license"" : ""http://creativecommons.org/licenses/by-nc/4.0/"",
  ""http://purl.org/dc/terms/publisher"" : ""iNaturalist""
}, {
  ""http://rs.tdwg.org/dwc/terms/catalogNumber"" : ""12046437"",
  ""http://purl.org/dc/terms/creator"" : ""Nelson Wisnik"",
  ""http://purl.org/dc/terms/format"" : ""image/jpeg"",
  ""http://purl.org/dc/terms/identifier"" : ""https://static.inaturalist.org/photos/12046437/original.jpeg?1511712104"",
  ""http://purl.org/dc/terms/type"" : ""StillImage"",
  ""http://purl.org/dc/terms/created"" : ""2017-02-21T08:37:03-08:00"",
  ""http://purl.org/dc/terms/references"" : ""https://www.inaturalist.org/photos/12046437"",
  ""http://purl.org/dc/terms/rightsHolder"" : ""Nelson Wisnik"",
  ""http://purl.org/dc/terms/license"" : ""http://creativecommons.org/licenses/by-nc/4.0/"",
  ""http://purl.org/dc/terms/publisher"" : ""iNaturalist""
} ]",NA,NA,NA,https://www.inaturalist.org/observations/8941118,2017/02/21 8:16 AM -03,"Parque Ecológico, Campinas - SP, Brasil",154290,https://www.inaturalist.org/observations/8941118,© Nelson Wisnik some rights reserved,19171568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
