species,decimalLongitude,decimalLatitude,countryCode,individualCount,gbifID,family,taxonRank,coordinateUncertaintyInMeters,year,basisOfRecord,institutionCode,datasetName,dataset
Ceiba speciosa,-49.77,-26.91,BRA,NA,1913570323,Malvaceae,SPECIES,NA,2018,PRESERVED_SPECIMEN,UCS,HUCS - Herbário da Universidade de Caxias do Sul,GBIF
Ceiba speciosa,-49.77,-26.91,BRA,NA,1837381321,Malvaceae,SPECIES,NA,2018,PRESERVED_SPECIMEN,"Universidade Regional de Blumenau, FURB",FURB - Herbário Dr. Roberto Miguel Klein,GBIF
Ceiba speciosa,-49.77,-26.91,BRA,NA,1902143968,Malvaceae,SPECIES,NA,2018,PRESERVED_SPECIMEN,JBRJ,RB - Rio de Janeiro Botanical Garden Herbarium Collection,GBIF
Ceiba speciosa,-52.227333,-24.739139,BRA,NA,1837392345,Malvaceae,SPECIES,NA,2018,PRESERVED_SPECIMEN,Universidade Tecnológica Federal do Paraná (UTFPR),HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,GBIF
Ceiba speciosa,-47.176133,-23.584793,BRA,NA,1841307683,Malvaceae,SPECIES,203,2018,HUMAN_OBSERVATION,iNaturalist,iNaturalist research-grade observations,GBIF
Ceiba erianthos,-41.588611,-11.238056,BRA,NA,1899819223,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,Universidade Federal da Bahia (UFBA),ALCB - Herbário Alexandre Leal Costa,GBIF
Ceiba speciosa,-47.018157,-22.905958,BRA,NA,1703210491,Malvaceae,SPECIES,NA,2017,HUMAN_OBSERVATION,iNaturalist,iNaturalist research-grade observations,GBIF
Ceiba samauma,-55.917042,-9.586472,BRA,NA,1889178199,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UNEMAT,HERBAM - Herbário da Amazônia Meridional,GBIF
Ceiba speciosa,-47.021233,-22.904805,BRA,NA,1453442411,Malvaceae,SPECIES,NA,2017,HUMAN_OBSERVATION,iNaturalist,iNaturalist research-grade observations,GBIF
Ceiba erianthos,-41.95,-12.9,BRA,NA,1705511481,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba pubiflora,-41.5,-11.833333,BRA,NA,1705511463,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba pubiflora,-41.333333,-11.483333,BRA,NA,1705511446,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba glaziovii,-41.438056,-11.015278,BRA,NA,1699901459,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba speciosa,-42.998089,-22.472728,BRA,NA,1831129118,Malvaceae,SPECIES,10,2017,HUMAN_OBSERVATION,iNaturalist,iNaturalist research-grade observations,GBIF
Ceiba speciosa,-47.022602,-22.906835,BRA,NA,1703207958,Malvaceae,SPECIES,NA,2017,HUMAN_OBSERVATION,iNaturalist,iNaturalist research-grade observations,GBIF
Ceiba glaziovii,-37.62,-7.56,BRA,NA,1889168071,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,IPA,IPA - Herbário - IPA Dárdano de Andrade Lima,GBIF
Ceiba pubiflora,-44.246111,-15.122778,BRA,NA,1848739125,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba rubriflora,-43.758333,-14.883056,BRA,NA,1848738960,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba pubiflora,-44.412778,-15.426389,BRA,NA,1848738949,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba pubiflora,-44.242778,-15.123056,BRA,NA,1848738950,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba pubiflora,-44.446389,-15.411111,BRA,NA,1848738965,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba erianthos,-41.992778,-21.919167,BRA,NA,1585335999,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,JBRJ,RB - Rio de Janeiro Botanical Garden Herbarium Collection,GBIF
Ceiba rubriflora,-43.758333,-14.883056,BRA,NA,1848738955,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba rubriflora,-43.758333,-14.883056,BRA,NA,1848738952,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba pubiflora,-43.752222,-14.893889,BRA,NA,1848738954,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba rubriflora,-43.758333,-14.883056,BRA,NA,1848738958,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba pubiflora,-44.444722,-15.412222,BRA,NA,1848739210,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba rubriflora,-43.758333,-14.883056,BRA,NA,1848738970,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba rubriflora,-43.758333,-14.883056,BRA,NA,1848739209,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba rubriflora,-44.264444,-15.086944,BRA,NA,1848738948,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
Ceiba pubiflora,-44.252222,-15.096944,BRA,NA,1848739134,Malvaceae,SPECIES,NA,2017,PRESERVED_SPECIMEN,UEFS,HUEFS - Herbario da Universidade Estadual de Feira de Santana,GBIF
