datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode
"2008-06-30 05:17:31-03"	INPA	INPA_CARPOTECA	162302	Ceiba	S	Plantae				Bombacaceae	Ceiba									10224		"Ferreira, C.A.C."	1991	06	02			"Southern America"	Brasil	Acre	Brasiléia	"Estrada velha para Rio Branco km 31, ramal para a a fronteira Brasil-Colômbia."	0	0	-68.7481	-11.0161	107952		0	0					0				"Árvore de 12m de altura x 28cm de diâmetro, com sapopemas. Casca com acúleos. Frutos grandes imaturos esverdeados, sementes revestidas por uma paina branca. Frutos separados. Mata de terra firme, solo argiloso."	
"2013-04-01 09:16:02-03"	IPT	BCTW	16853	"Ceiba jasminodora"	S	Plantae	Magnoliophyta	Magnoliopsida			Ceiba	jasminodora		"(A. St.-Hil.) K. Schum"	"Carlos Toledo Rizzini"					1120		"Rizzini, C.T. & Mattos Filho, A."	1979	04	02				Brasil	"Minas Gerais"	Itaobim	"Vale do Jequitinhonha"	0	0	-41.5033	-16.5617	19493												"RB:220899; árvore da caatinga 10 X 0,8 m de diametro, sobre afloramento de gnaise; acúleos grandes nos ramos e tronco; madeira macia usada para gamelas e cochos"	
"2013-04-01 09:16:02-03"	IPT	BCTW	17088	"Ceiba occidentalis"	S	Plantae	Magnoliophyta	Magnoliopsida			Ceiba	occidentalis		"(Spreng.) Burkill"								"Rodrigues, W.A. & Mello, F."							Brasil	Amazonas	"Careiro da Várzea"		0	0	-59.8119	-3.20028	67019													
"2013-04-01 09:16:02-03"	IPT	BCTW	17224	"Ceiba pentandra"	S	Plantae	Magnoliophyta	Magnoliopsida			Ceiba	pentandra		"(L.) Gaertn."															Brasil	Pará	Tucuruí		0	0	-49.6725	-3.76611	59618												"Projeto Tucuruí: 1248; Ensaios Físicos e mecânicos: 496"	
"2013-04-01 09:16:04-03"	IPT	BCTW	20078	"Ceiba pentandra"	S	Plantae	Magnoliophyta	Magnoliopsida			Ceiba	pentandra		"(L.) Gaertn."															Brasil	Pará	Tailândia	"Amazônia Brasileira"	0	0	-48.9531	-2.94722	67462													
"2013-04-01 09:16:04-03"	IPT	BCTW	12891	"Ceiba pentandra"	S	Plantae	Magnoliophyta	Magnoliopsida			Ceiba	pentandra		"(L.) Gaertn."															Brasil	Bahia	Itabuna		0	0	-39.2803	-14.7856	30592												"P.E. 400-600"	
"2013-04-01 09:16:04-03"	IPT	BCTW	17227	"Ceiba pentandra"	S	Plantae	Magnoliophyta	Magnoliopsida			Ceiba	pentandra		"(L.) Gaertn."															Brasil	Pará	Tucuruí		0	0	-49.6725	-3.76611	59618												"Projeto Tucuruí: 238; Ensaios Físicos e mecânicos: 476"	
"2013-04-01 09:16:04-03"	IPT	BCTW	17246	"Ceiba pentandra"	S	Plantae	Magnoliophyta	Magnoliopsida			Ceiba	pentandra		"(L.) Gaertn."															Brasil	Pará	Tucuruí		0	0	-49.6725	-3.76611	59618												"Projeto Tucuruí: 38; Ensaios Físicos e mecânicos: 505"	
"2013-04-01 09:16:04-03"	IPT	BCTW	17233	"Ceiba pentandra"	S	Plantae	Magnoliophyta	Magnoliopsida			Ceiba	pentandra		"(L.) Gaertn."															Brasil	Pará	Tucuruí		0	0	-49.6725	-3.76611	59618												"Projeto Tucuruí: 546; Ensaios Físicos e mecânicos: 486"	
"2013-04-01 09:16:04-03"	IPT	BCTW	12078	"Ceiba pentandra"	S	Plantae	Magnoliophyta	Magnoliopsida			Ceiba	pentandra		"(L.) Gaertn."															Brasil	Amazonas	Manaus		0	0	-60.025	-3.10194	138090													
"2013-04-01 09:16:04-03"	IPT	BCTW	19615	"Ceiba pentandra"	S	Plantae	Magnoliophyta	Magnoliopsida			Ceiba	pentandra		"(L.) Gaertn."	IPT					92		"Nunes, I.N"	2003	01	30				Brasil	Rondônia	"Costa Marques"	"Reserva Extrativista Estadual Rio Cautário - Sítio linha da altura do 64"	-64.1415	-11.952															"fruto redondo grande; presença de resina; raizes tabulares; mais informações na pasta Resex"	
